"date","symbol","open","high","close","volume","adj"
2017-07-03,"CPLA",85.75,86.45,86.099998,18700,86.099998
2017-07-05,"CPLA",86.05,86.15,84.900002,33100,84.900002
2017-07-06,"CPLA",84.8,84.95,83.699997,46400,83.699997
2017-07-07,"CPLA",84.2,85.3,85.050003,35900,85.050003
2017-07-10,"CPLA",85,85.3,83.5,33600,83.5
2017-07-11,"CPLA",83.7,85.3,85.099998,60100,85.099998
2017-07-12,"CPLA",85.5,87.65,85.699997,53000,85.699997
2017-07-13,"CPLA",85.65,87.1,86.449997,64800,86.449997
2017-07-14,"CPLA",86,87,86.5,51900,86.5
2017-07-03,"LKQ",33.2,33.44,33.310001,715000,33.310001
2017-07-05,"LKQ",33.29,33.47,32.450001,2379400,32.450001
2017-07-06,"LKQ",32.38,32.49,31.389999,2205300,31.389999
2017-07-07,"LKQ",31.39,32.28,31.49,2435800,31.49
2017-07-10,"LKQ",31.47,31.79,31.73,1498100,31.73
2017-07-11,"LKQ",31.77,32.07,31.940001,1276200,31.940001
2017-07-12,"LKQ",32.12,32.39,32.09,1438100,32.09
2017-07-13,"LKQ",32.17,32.34,32.330002,1754000,32.330002
2017-07-14,"LKQ",32.38,32.72,32.540001,1662300,32.540001
2017-07-03,"MRO",11.97,12.23,12.14,8812100,12.14
2017-07-05,"MRO",12.03,12.05,11.74,18979800,11.74
2017-07-06,"MRO",11.89,11.96,11.59,17909400,11.59
2017-07-07,"MRO",11.54,11.55,11.47,15445900,11.47
2017-07-10,"MRO",11.41,11.59,11.52,10970400,11.52
2017-07-11,"MRO",11.53,11.73,11.59,10410200,11.59
2017-07-12,"MRO",11.72,11.87,11.43,17744800,11.43
2017-07-13,"MRO",11.43,11.49,11.45,18171600,11.45
2017-07-14,"MRO",11.53,11.67,11.65,15197500,11.65
2017-07-03,"BXC",10.87,10.94,10.9,2900,10.9
2017-07-05,"BXC",10.92,10.94,10.69,10200,10.69
2017-07-06,"BXC",10.52,10.63,10.44,13500,10.44
2017-07-07,"BXC",10.65,10.73,10.62,10100,10.62
2017-07-10,"BXC",10.69,10.99,10.79,17000,10.79
2017-07-11,"BXC",10.78,10.99,10.87,55700,10.87
2017-07-12,"BXC",10.88,11,10.98,40100,10.98
2017-07-13,"BXC",10.98,11,10.73,27200,10.73
2017-07-14,"BXC",10.84,10.84,10.7,23500,10.7
2017-07-03,"ADTN",20.75,20.8,20.799999,122600,20.799999
2017-07-05,"ADTN",20.75,20.85,20.65,331900,20.65
2017-07-06,"ADTN",20.5,20.55,20.049999,226000,20.049999
2017-07-07,"ADTN",20.05,20.5,20.5,152600,20.5
2017-07-10,"ADTN",20.4,20.7,20.549999,249700,20.549999
2017-07-11,"ADTN",20.5,20.53,20.4,136300,20.4
2017-07-12,"ADTN",20.55,20.85,20.75,215000,20.75
2017-07-13,"ADTN",20.8,20.8,20.25,208500,20.25
2017-07-14,"ADTN",20.3,20.43,20.4,149900,20.4
2017-07-03,"MSBF",17.6,17.65,17.549999,3100,17.549999
2017-07-05,"MSBF",17.34,17.34,17.34,300,17.34
2017-07-06,"MSBF",17.45,17.5,17.5,1500,17.5
2017-07-07,"MSBF",17.15,17.5,17.5,8200,17.5
2017-07-10,"MSBF",17.4,17.55,17.549999,3000,17.549999
2017-07-11,"MSBF",17.65,17.65,17.200001,900,17.200001
2017-07-12,"MSBF",17.35,17.45,17.450001,2200,17.450001
2017-07-13,"MSBF",17.45,17.5,17.5,400,17.5
2017-07-14,"MSBF",17.2,17.5,17.5,600,17.5
2017-07-03,"QQXT",46.26,46.33,45.900002,2700,45.900002
2017-07-05,"QQXT",45.98,46.04,46.029999,7500,46.029999
2017-07-06,"QQXT",45.49,45.72,45.529999,4200,45.529999
2017-07-07,"QQXT",45.6,45.88,45.810001,3800,45.810001
2017-07-10,"QQXT",45.77,45.95,45.880001,3000,45.880001
2017-07-11,"QQXT",45.98,45.98,45.830002,11400,45.830002
2017-07-12,"QQXT",46.05,46.35,46.34,12000,46.34
2017-07-13,"QQXT",46.4,46.4,46.389999,3300,46.389999
2017-07-14,"QQXT",46.6,46.68,46.68,3800,46.68
2017-07-03,"MYI",14.283,14.303,14.262704,40700,14.33
2017-07-05,"MYI",14.233,14.283,14.222892,119300,14.29
2017-07-06,"MYI",14.183,14.233,14.143268,94500,14.21
2017-07-07,"MYI",14.123,14.213,14.193033,59100,14.26
2017-07-10,"MYI",14.193,14.322,14.322423,53100,14.39
2017-07-11,"MYI",14.312,14.422,14.412,63000,14.48
2017-07-12,"MYI",14.46,14.5,14.39,62500,14.39
2017-07-13,"MYI",14.45,14.48,14.36,127900,14.36
2017-07-14,"MYI",14.43,14.48,14.48,41200,14.48
2017-07-03,"ETV",15.27,15.31,15.29,97600,15.29
2017-07-05,"ETV",15.27,15.37,15.33,146900,15.33
2017-07-06,"ETV",15.31,15.32,15.25,151100,15.25
2017-07-07,"ETV",15.26,15.3,15.26,128300,15.26
2017-07-10,"ETV",15.27,15.36,15.33,90500,15.33
2017-07-11,"ETV",15.34,15.44,15.4,240800,15.4
2017-07-12,"ETV",15.43,15.5,15.47,131400,15.47
2017-07-13,"ETV",15.45,15.53,15.43,174800,15.43
2017-07-14,"ETV",15.49,15.52,15.5,119000,15.5
2017-07-03,"TCPC",16.9,16.98,16.950001,98600,16.950001
2017-07-05,"TCPC",16.94,16.94,16.82,164100,16.82
2017-07-06,"TCPC",16.8,16.82,16.74,169100,16.74
2017-07-07,"TCPC",16.77,16.8,16.77,161900,16.77
2017-07-10,"TCPC",16.7,16.79,16.719999,136400,16.719999
2017-07-11,"TCPC",16.75,16.8,16.75,214200,16.75
2017-07-12,"TCPC",16.77,16.88,16.780001,147200,16.780001
2017-07-13,"TCPC",16.83,16.87,16.809999,123400,16.809999
2017-07-14,"TCPC",16.79,16.9,16.809999,104400,16.809999
2017-07-03,"SPTN",26.2,26.76,26.25,125100,26.25
2017-07-05,"SPTN",26.15,26.33,26.09,231000,26.09
2017-07-06,"SPTN",25.95,26.31,25.99,265200,25.99
2017-07-07,"SPTN",25.98,26.33,26.110001,291100,26.110001
2017-07-10,"SPTN",26.13,26.5,25.950001,235200,25.950001
2017-07-11,"SPTN",26,26.29,26.02,225100,26.02
2017-07-12,"SPTN",26.17,26.78,25.950001,247400,25.950001
2017-07-13,"SPTN",26.08,26.28,26.15,154700,26.15
2017-07-14,"SPTN",26,26.41,26.040001,202400,26.040001
2017-07-03,"SAN",6.79,6.85,6.79,5396600,6.79
2017-07-05,"SAN",6.76,6.79,6.79,10649800,6.79
2017-07-06,"SAN",6.74,6.88,6.83,5055200,6.83
2017-07-07,"SAN",6.76,6.8,6.77,2790600,6.77
2017-07-10,"SAN",6.71,6.79,6.75,4794000,6.75
2017-07-11,"SAN",6.72,6.75,6.75,5007300,6.75
2017-07-12,"SAN",6.73,6.76,6.74,5633200,6.74
2017-07-13,"SAN",6.81,6.82,6.81,3502000,6.81
2017-07-14,"SAN",6.75,6.8,6.76,3735200,6.76
2017-07-03,"ATH",49.78,50.2,50.02,519000,50.02
2017-07-05,"ATH",50.2,50.2,49.66,960800,49.66
2017-07-06,"ATH",49.51,49.55,49.23,1238700,49.23
2017-07-07,"ATH",49.42,49.54,49.27,897100,49.27
2017-07-10,"ATH",49.09,50.04,49.639999,1418500,49.639999
2017-07-11,"ATH",49.63,49.89,49.02,1398900,49.02
2017-07-12,"ATH",49.1,49.23,48.849998,964800,48.849998
2017-07-13,"ATH",49.02,49.79,49.580002,1007800,49.580002
2017-07-14,"ATH",49.57,49.91,49.77,619200,49.77
2017-07-03,"CEVA",45,45.35,44.25,85400,44.25
2017-07-05,"CEVA",45,45.25,45.150002,100300,45.150002
2017-07-06,"CEVA",44.4,45.3,44.700001,113300,44.700001
2017-07-07,"CEVA",44.7,45.7,45.599998,82300,45.599998
2017-07-10,"CEVA",45.65,45.85,45.599998,91300,45.599998
2017-07-11,"CEVA",45.6,46.45,45.5,119500,45.5
2017-07-12,"CEVA",46.1,46.85,46.599998,80300,46.599998
2017-07-13,"CEVA",46.6,46.8,46.049999,66800,46.049999
2017-07-14,"CEVA",46.35,46.68,46.450001,82600,46.450001
2017-07-03,"CNSL",21.06,21.599,21.510546,1030700,21.950001
2017-07-05,"CNSL",21.462,21.658,21.598743,3276500,22.040001
2017-07-06,"CNSL",21.354,21.726,20.893158,1282000,21.32
2017-07-07,"CNSL",20.923,20.972,20.29537,802400,20.709999
2017-07-10,"CNSL",20.168,20.295,19.746582,815800,20.15
